id,series,date,title,area,category,n_coords,lon,lat,depth_triples,description
166715,NW-C-3395-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.53288333333333,45.54125,"[[45.54125, -73.53288333333333, 10.6]]","Shallower depth located at: 45 32.475N 073 31.973W, 10.6 metres"
166716,NW-C-3396-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54583333333333,45.507266666666666,"[[45.507266666666666, -73.54583333333333, 10.0]]","Shallower depth located at: 45 30.436N 073 32.750W, 10 metres"
166717,NW-C-3397-24,2024-12-10,Waterway information Reference NW-C-1091-24,Port of Montreal Vicinity Port of Montreal,Shallow Depth Reported,1,-73.54743333333333,45.50315,"[[45.50315, -73.54743333333333, 10.2]]","Shallower depth located at: 45 30.189N 073 32.846W, 10.2 metres"
166718,NW-C-3398-24,2024-12-10,Waterway information Cancels NW-C-3283-24,Trois-Rivières to Donnacona Vicinity Port de Bécancour,Shallow Depth Reported,1,-72.37858333333334,46.40465,"[[46.40465, -72.37858333333334, 10.4]]","Shallower depth located at: 46 24.279N 072 22.715W, 10.4 metres"
166719,NW-C-3399-24,2024-12-10,Waterway information Reference NW-C-3283-24,Trois-Rivières to Donnacona Vicinity Port de Bécancour,Shallow Depth Reported,1,-72.37928333333333,46.403016666666666,"[[46.403016666666666, -72.37928333333333, 10.3]]","Shallower depth located at: 46 24.181N 072 22.757W, 10.3 metres"
166721,NW-C-3401-24,2024-12-10,Waterway information Reference NW-C-3283-24,Trois-Rivières to Donnacona Vicinity Port de Bécancour,Shallow Depth Reported,1,-72.37518333333334,46.402966666666664,"[[46.402966666666664, -72.37518333333334, 10.2]]","Shallower depth located at: 46 24.178N 072 22.511W, 10.2 metres"
168524,NW-P-0373-25,2025-03-17,Aids to Navigation,Washington State - San Juan Islands,Lights Aids Boundary Pass Shoal isolated danger light and bell buoy DB (U.S.) LL 264.5,1,-123.01463305555555,48.764826666666664,[],Reduced Intensity.
169130,NW-P-0496-25,2025-04-11,Obstruction,West Coast Vancouver Island South,Submerged Object,1,-125.89521666666667,49.15168333333333,[],"A black waterline was reported running from Strawberry Island across to the Tofino Resort and Marina at 49 09.101N 125 53.713W. The waterline is 6 inches in diameter, stretches across the channel and is hovering just below the surface of the water. Caution."
169527,NW-N-0248-25,2025-04-24,Aids to Navigation,Northeast Coast,Buoys Aids 9 Feet Rock light buoy D2 LL 358.16,1,-54.73555555555556,49.68375,[],Missing
169984,NW-A-0043-25,2025-05-07,Waterway information,Great Slave Lake Vicinity Simpson Island,Shoal,1,-112.98596333333333,61.64899833333333,[],"An uncharted rocky shoal of unknown depth has been reported along the Simpson Island Range line (LL 1700.1 / 1700.2). The approximate center of the shoal is at 61 38.9399 N 112 59.1578 W (WGS 84). Mariners should stay outside of a 600 metres radius area from the centre of the shoal. The SW end of the shoal is approximately 5,875 metres from the Simpson Island Front Range tower (LL 1700.1). Mariner"
170050,NW-M-0692-25,2025-05-09,Waterway information,"Chaleur - Miscou - south Vicinity Shippagan Gully, NB",Shallow Depth Reported,1,-64.682,47.736333333333334,[],Shallower depth reported in 47 44.180N 064 40.920W. Caution.
170081,NW-C-0985-25,2025-05-09,Waterway information,Georgian Bay Vicinity Clontarf Island,Shallow Depth Reported,1,-80.51188333333333,45.579683333333335,[],"Due to low water levels, shallower depths than charted are reported within the navigation channel at Shoal Narrows, on the Georgian Bay Small Craft Route near Nares Inlet. Mariners are advised to use caution if operating in this waterway."
170158,NW-M-0709-25,2025-05-12,Waterway information,Cabot Strait - south Vicinity Sydney Harbour,Shoal,1,-60.21922166666667,46.20386166666667,[],"A shoal was found in Sydney Harbour, Nova Scotia on May 12, 2025, in position 46 12.232N 060 13.153W at a depth of 1.86 metres. Paper chart affected : 4266 Caution."
170202,NW-C-1058-25,2025-05-13,Waterway information,Rainy Lake Vicinity Rainy River,Shallow Depth Reported,5,-93.366275,48.61006111111111,[],"Due to strong currents and low water levels, charted depths are unreliable in the Rainy River Navigation Channel. Caution."
170740,NW-M-0776-25,2025-05-28,Waterway information,"Gulf - Magdalen - south Vicinity Alberton, Prince Edward Island",Shallow Depth Reported,12,-64.0589,46.794533333333334,[],Shallower depths have been located within the following polygons:
171187,NW-M-0833-25,2025-06-10,Waterway information,Gulf - Magdalen - south,Shallow Depth Reported,0,,,[],Shallower depths located at: Latitude Longitude Depth (m) 46 47.711N 064 03.590W 1.5 46 47.693N 064 03.290W 4.0 46 48.039N 064 02.538W 3.0 46 48.118N 064 02.211W 3.5 46 48.195N 064 00.914W 3.5 46 48.126N 064 00.873W 3.1 46 48.123N 064 00.792W 3.2 46 48.238N 064 00.719W 3.0 46 48.217N 064 00.640W 3.7 All depths are referenced to CHS benchmark HAR (6168-19736). Elevation +2.521m above chart datum.
171188,NW-M-0834-25,2025-06-10,Waterway information,"Gulf - Magdalen - south Vicinity Alberton, PE",Shallow Depth Reported,0,,,[],Shallower depths located within the following polygons: Shoaling up to 1.3m: 46 47.682N 064 03.462W 46 47.683N 064 03.493W 46 47.757N 064 03.474W 46 47.755N 064 03.446W 46 47.825N 064 03.345W 46 47.839N 064 03.307W 46 47.832N 064 03.285W 46 47.743N 064 03.388W 46 47.727N 064 03.464W 46 47.864N 064 02.771W Shoaling up to 1.7m: 46 47.866N 064 02.877W 46 47.921N 064 02.854W 46 47.953N 064 02.794W 46 
171702,NW-C-1803-25,2025-06-27,Waterway information Cancels NW-C-2617-24,Port of Sorel-Tracy Vicinity Saint-Joseph-de-Sorel,Shallow Depth Reported,4,-73.14148442989729,46.047455957112284,[],"Shallower depths located at: Section 20 east: 10.7 metres, Section 20 west: 9.75 metres, Section 21: 9.14 metres."
172785,NW-P-1019-25,2025-07-27,Aids to Navigation,Juan de Fuca Strait,Lights Aids Race Rocks light LL 189,1,-123.53141666666667,48.29803,[],Fog signal inoperative
173434,NW-C-2568-25,2025-08-15,Waterway information,Magdalen Islands Vicinity Havre-aux-Maisons,Shallow Depth Reported,1,-61.8397,47.40116666666667,[],Shoaling reported within the navigation channel in the vicinity of 47 24.070N 061 50.382W.
173517,NW-P-1144-25,2025-08-17,Aids to Navigation,Dixon Entrance West,Buoys Aids Stubbs Rock light buoy C40 LL 795.5,1,-132.27298333333334,53.74251388888889,[],Light intensity has been increased to 75CD and nominal range increased to 5nm.
173540,NW-M-1228-25,2025-08-18,Waterway information,Grand Manan Vicinity Letete Passage,Shallow Depth Reported,1,-66.91422666666666,45.02056,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 45 01.234N 066 54.854W 2.7"
173596,NW-A-0233-25,2025-08-20,Waterway information Copy NW-NAVAREAXVIII-0131-25,Shipping Safety Control Zone 13,Shallow Depth Reported,4,-91.30985,74.6619,"[[74.6619, -91.30985, 7.1], [74.66441666666667, -91.30523333333333, 8.0], [74.66601666666666, -91.30648333333333, 17.1], [74.6715, -91.30585, 12.7]]",Shallow depths reported: 74 39.714N 091 18.591W 7.1m 74 39.865N 091 18.314W 8.0m 74 39.961N 091 18.389W 17.1m 74 40.290N 091 18.351W 12.7m Depths are reduced to CHS Chart Datum.
173895,NW-M-1278-25,2025-08-29,Waterway information,Grand Manan Vicinity Letete Passage,Shallow Depth Reported,1,-66.91422666666666,45.02056,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 44 58.56N 066 55.19W 3.4 44-58.98N 066-55.23W 9.6 44-58.74N 066-54.70W 0.9 44-58.60N 066-54.30W 0.5"
173934,NW-M-1285-25,2025-08-30,Waterway information,Grand Manan Vicinity Passamaquoddy Bay,Shallow Depth Reported,6,-66.93766666666667,44.955,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 44 57.300N 066 56.260W -0.6 44 57.380N 066 56.170W 0.4 44 56.570N 066 57.140W 0.8 44 56.960N 066 56.970W -0.7 44 57.350N 066 56.190W 1.2 44 56.320N 066 58.720W 4.4 All depths are referenced to CHS chart datum."
173935,NW-M-1286-25,2025-08-30,Waterway information,Grand Manan Vicinity Passamaquoddy Bay,Shallow Depth Reported,5,-66.87116666666667,45.03,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 45 01.800N 066 52.270W 0.9 45 00.910N 066 53.690W 1.0 45 02.100N 066 55.000W 1.0 45 01.990N 066 54.260W -0.3 45 02.270N 066 48.360W 9.2 All depths are referenced to CHS chart datum."
173937,NW-A-0258-25,2025-08-30,Waterway Information Copy NW-NAVAREAXVIII-0140-25,Shipping Safety Control Zone 13,Shallow Depth Reported,1,-91.34225,74.6438,"[[74.6438, -91.34225, 13.6]]","Shallow depth reported at 74 38.628N 091 20.535W, 13.6m. Depths are reduced to CHS Chart Datum."
173947,NW-M-1290-25,2025-08-31,Waterway information,"Grand Manan Vicinity Campobello Island, NB",Shallow Depth Reported,3,-66.9655,44.92466666666667,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 44 55.480N 066 57.930W -0.3 44 59.530N 066 55.980W 4.3 44 58.850N 066 56.370W 4.5 All depths are referenced to CHS chart datum."
173956,NW-M-1292-25,2025-08-31,Waterway information,"Grand Manan Vicinity Campobello Island, NB",Shallow Depth Reported,2,-66.96566666666666,44.93683333333333,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 44 56.210N 066 57.940W -1.8 44 56.040N 066 57.840W 1.3 All depths are referenced to CHS chart datum."
173957,NW-M-1293-25,2025-08-31,Waterway Information,Cabot Strait - south,Shoal,1,-59.48189444444445,46.11951277777778,[],"As a result of an hydrographic survey, a shoal depth has been identified. Latitude Longitude Depth in metres 46 07.171N 059 28.914W 31.819"
174007,NW-M-1301-25,2025-09-02,Waterway information,"Grand Manan Vicinity Passamaquoddy Bay, NB",Shallow Depth Reported,1,-66.91766666666666,45.08133333333333,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 45 04.880N 066 55.060W 0.0 All depths are referenced to CHS chart datum."
174108,NW-N-0667-25,2025-09-05,Aids to Navigation,Southwest Coast,Buoys Aids Cox Rock light buoy QE3 LL 145.82,1,-58.43066666666667,47.631166666666665,[],Missing
174146,NW-M-1335-25,2025-09-05,Waterway information,Grand Manan Vicinity Passamaquoddy Bay,Shallow Depth Reported,4,-66.95133333333334,44.9845,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 44 59.070N 066 57.080W 1.9 44 59.340N 066 56.750W 2.9 44 59.560N 066 56.620W 2.5 45 00.400N 066 56.260W 3.5 All depths are referenced to CHS chart datum."
174289,NW-N-0694-25,2025-09-11,Aids to Navigation,South Coast,Buoys Aids Gibraltor Rock light buoy PX2 LL 15.5,1,-54.047583333333336,47.22816666666667,[],Missing
174435,NW-A-0272-25,2025-09-17,Waterway Information,Shipping Safety Control Zone 15,Shoal,4,-63.15128333333333,65.18608333333333,[],Potential shoals of unknown depths in the area bounded by the following coordinates: 65 01.231N 063 22.848W 64 57.513N 063 05.240W 65 09.232N 062 52.575W 65 11.165N 063 09.077W
174440,NW-A-0271-25,2025-09-17,Waterway Information,Shipping Safety Control Zone 10,Shoal,4,-62.227491111666666,65.56924611,[],Potential shoals of unknown depths in the area bounded by the following coordinates: 65 34.155N 062 13.649W 65 34.029N 062 12.974W 65 33.246N 062 13.332W 65 33.484N 062 14.032W
174441,NW-A-0270-25,2025-09-17,Waterway Information,Shipping Safety Control Zone 10,Shoal,2,-63.05488980333333,65.24909166666667,[],"Shoals located at: 65 14.946N 063 03.293W, depth unknown 65 15.157N 063 01.288W, depth unknown"
174481,NW-C-2963-25,2025-09-18,Waterway information Cancels NW-C-2887-25 Reference NW-C-2961-25 Reference NW-C-2962-25,Cornwall to Montréal - west Vicinity Summerstown,Shallow Depth Reported,8,-74.57572222222223,45.050016666666664,[],"The depths in the channel entrance to Summerstown, west of Clark Island, are less than charted. Stay clear of area bounded by: 45 03.001N 074 34.543W 45 03.002N 074 34.383W 45 02.772N 074 34.492W 45 02.772N 074 34.772W"
174549,NW-M-1426-25,2025-09-21,Obstruction,"Southwestern Shore Vicinity Head of St. Margarets Bay, NS",Submerged Object,1,-63.907968470077435,44.684626043572955,[],"Large log, approximately 10 feet in length semi-submerged in 44 41.078N 063 54.478W. Log is completely submerged at high tide. Caution."
174711,NW-A-0289-25,2025-09-27,Waterway Information Copy NW-NAVAREAXVIII-0155-25,Shipping Safety Control Zone 6,Shallow Depth Reported,1,-96.78643333333333,71.36371666666666,"[[71.36371666666666, -96.78643333333333, 42.0]]","Shallow depths reported: 71 21.823N 096 47.186W, 42m"
174715,NW-A-0290-25,2025-09-27,Waterway Information Copy NW-NAVAREAXVIII-0156-25,Shipping Safety Control Zone 6,Shallow Depth Reported,1,-96.87685,71.30063333333334,"[[71.30063333333334, -96.87685, 37.6]]","Shallow depth reported at 71 18.038N 096 52.611W, 37.6m"
174754,NW-M-1476-25,2025-09-29,Waterway information,Southwestern Shore Vicinity LaHave River,Shallow Depth Reported,7,-64.40603333333334,44.318216666666665,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude 44 19.093N 064 24.362W 44 19.218N 064 23.987W 44 18.411N 064 22.041W 44 18.178N 064 22.057W 44 18.280N 064 22.792W 44 18.559N 064 23.346W 44 18.905N 064 23.813W"
174785,NW-A-0295-25,2025-09-29,Waterway Information Reference NW-A-0293-25 Reference NW-NAVAREAXVIII-0158-25 Reference NW-A-0294-25,Shipping Safety Control Zone 1 Vicinity Erskine Inlet,Shallow Depth Reported,1,-102.27703333333334,76.6726,"[[76.6726, -102.27703333333334, 33.57]]","Shallow depth reported at 76 40.356N 102 16.622W, 33.57m"
174819,NW-A-0299-25,2025-10-01,Waterway Information Copy NW-NAVAREAXVIII-0160-25,Shipping Safety Control Zone 6,Shallow Depth Reported,7,-96.6878076,71.3802652,"[[71.38026666666667, -96.6878, 29.3], [71.36745, -96.67886666666666, 26.6], [71.35888333333334, -96.76315, 11.3], [71.35333333333334, -96.74421666666667, 11.3], [71.34315, -96.75563333333334, 28.4], [71.3047, -96.81715, 28.35], [71.29075, -96.81311666666667, 41.0]]","Shallow depth reported at: 71 22.816N 096 41.268W, 29.3m 71 22.047N 096 40.732W, 26.6m 71 21.533N 096 45.789W, 11.3m 71 21.200N 096 44.653W, 11.3m 71 20.589N 096 45.338W, 28.4m 71 18.282N 096 49.029W, 28.35m 71 17.445N 096 48.787W, 41m"
175021,NW-M-1535-25,2025-10-07,Waterway Information,"Fundy Vicinity Digby, N.S.",Shallow Depth Reported,1,-65.74901666666666,44.63705,[],"As a result of a hydrographic survey, shallower depths located at Latitude Longitude Depth in Meters 44 38.223N 065 44.941W 9.9 44 37.655N 065 44.968W 4.9 44 37.490N 065 45.054W 6.9 44 37.786N 065 45.016W 6.3 44 37.819N 065 45.024W 6.3 44 37.901N 065 45.000W 6.2 45 38.229N 065 45.119W 6.5 All depths are referenced to CHS chart datum."
175039,NW-M-1539-25,2025-10-07,Waterway Information,Southwestern Shore Vicinity LaHave River,Shallow Depth Reported,5,-64.32373333333334,44.17255,"[[44.17255, -64.32373333333334, 7.1], [44.1729, -64.32531666666667, 7.1], [44.176833333333335, -64.32731666666666, 8.0]]","As a result of an ongoing hydrographic survey, shallower than charted depths have been found at the following locations : Latitude, longitude, depth. 1. 44 14.620N, 064 22.163W, 1.9 meter. 2. 44 10.353N, 064 19.424W, 7.1 meters. 3. 44 10.374N, 064 19.519W, 7.1 meters. 4. 44 10.610N, 064 19.639W, 8 meters. 5. Replace Sounding 7.3 meters with 4.5 meters at 44 13.815N, 064 22.577W. Available depth re"
175311,NW-N-0809-25,2025-10-18,Aids to Navigation Cancels NW-N-0808-25,South Coast,Buoys Aids Lamb Rock North Cardinal light buoy MLR LL 7.4,1,-54.0288445,46.46601027777778,[],Missing
175349,NW-A-0342-25,2025-10-20,Waterway Information Copy NW-NAVAREAXVIII-0183-25,Shipping Safety Control Zone 6 Vicinity Franklin Strait,Shoal,1,-96.89826666666667,71.35125,[],"Shoals located at: 71 21.075N 096 53.896W, depth unknown"
175428,NW-C-3274-25,2025-10-23,Obstruction,Lake Ontario Vicinity Hamilton Harbour,Submerged Object,1,-79.829,43.29216666666667,[],Ship propeller reported lost at 43 17.53N 079 49.74W.
175605,NW-A-0355-25,2025-10-30,Waterway Information,Ungava,Shallow Depth Reported,0,,,"[[58.81668333333333, -68.31688333333334, 2.3], [58.827933333333334, -68.2758, 5.8], [58.82913333333333, -68.26533333333333, 3.9], [58.23376666666667, -68.27708333333334, 4.2], [58.22895, -68.28206666666667, 3.6], [58.174933333333335, -68.31945, 4.6], [58.17288333333333, -68.32103333333333, 4.2], [58.109516666666664, -68.31463333333333, 6.7], [58.098216666666666, -68.36425, 2.7], [58.098333333333336, -68.36816666666667, 1.8], [58.0983, -68.37061666666666, 3.0], [58.09063333333334, -68.39271666666667, 0.4]]","Shallow depths reported: 58 49.001N 068 19.013W, 2.3m 58 49.676N 068 16.548W, 5.8m 58 49.748N 068 15.920W, 3.9m 58 14.026N 068 16.625W, 4.2m 58 13.737N 068 16.924W, 3.6m 58 10.496N 068 19.167W, 4.6m 58 10.373N 068 19.262W, 4.2m 58 06.571N 068 18.878W, 6.7m 58 05.893N 068 21.855W, 2.7m 58 05.900N 068 22.090W, 1.8m 58 05.898N 068 22.237W, 3.0m 58 05.438N 068 23.563W, 0.4m Available depth refers to c"
175763,NW-C-3406-25,2025-11-04,Waterway information Cancels NW-C-3022-24,Anticosti Vicinity Havre-Saint-Pierre Port,Shallow Depth Reported,13,-63.60895200129206,50.23766739918499,[],"Shallower depth reported at Rio Tinto Iron and Titanium dock, 10.1 metres."
175876,NW-M-1690-25,2025-11-09,Obstruction,Grand Manan Vicinity Meteghan,Submerged Object,1,-66.16583333333334,44.193888888888885,[],Submerged steel pipe approximately 50 feet north of the eastern floating dock in Meteghan small craft harbour. the top of the obstruction is 0.5m below the surface. The steel pipe is marked with two buoys.
176565,NW-C-3698-25,2025-12-02,Obstruction,Montréal to Trois-Rivières Vicinity Îlet Vert,Submerged Object,1,-73.44766666666666,45.69996666666667,[],Submerged sea container reported at 45 41.998N 073 26.860W.
177480,NW-P-0060-26,2026-01-12,Aids to Navigation,North Coast,Lights Aids Blackrock Point sector light LL 665.41,1,-129.34423333333334,53.20846111111111,[],Unlit
177885,NW-C-0156-26,2026-02-06,Waterway Information,Lake Superior Vicinity Port of Thunder Bay,Shallow Depth Reported,1,-89.220341,48.414117,"[[48.414116666666665, -89.22033333333333, 8.0]]","Shallower depth reported at 48 24.847N 089 13.220W, 8.0 metres."
178339,NW-C-0288-26,2025-05-27,Waterway Information,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.38279628,46.40563997,[],Shoal located in area bounded by: 46 24.338N 72 22.968W 46 24.338N 72 22.969W 46 24.339N 72 22.970W 46 24.339N 72 22.969W Depth: 10.5m In Force Shoals number Q5083/25 refers.
178343,NW-C-0292-26,2025-07-04,Waterway Information,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-71.9566106,46.6178465,[],Shoal located in area bounded by: 46 37.071N 71 57.397W 46 37.276N 71 57.002W 46 37.267N 71 56.992W 46 37.061N 71 57.386W Depth: 8.2m In Force Shoals number Q5157/25 refers.
178345,NW-C-0294-26,2025-07-04,Waterway Information,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-71.9488101,46.621662,[],Shoal located in area bounded by: 46 37.300N 71 56.929W 46 37.285N 71 56.957W 46 37.289N 71 56.961W 46 37.303N 71 56.932W Depth: 10.1m In Force Shoals number Q5158/25 refers.
178575,NW-M-0209-26,2026-03-03,Obstruction Cancels NW-M-0133-26,Halifax Harbour and Approaches Vicinity Georges Island,Submerged Object,4,-63.557111111111105,44.64377777777778,[],Four fiberglass sonar targets are deployed in Halifax Harbour near Georges Island. A 20 cm x 60 cm seafloor cone will be deployed in 44 38.627N 063 33.427W. A 60 cm spherical water column will be deployed 5 metres off the seabed in 44 38.577N 063 33.367W. A 50 cm x 50 cm seafloor hollow cylinder will be deployed in 44 38.525N 063 33.333W. A 50 cm x 100 cm seafloor cylinder will be deployed in 44 3
178719,NW-P-0371-26,2026-03-13,Shallow Depth Reported,Hecate Strait,Shallow Depth Reported,1,-131.90228333333334,52.95453333333333,[],"Shallow depth reported in Louise Narrows, south of Carmichael Passage at 52 57.272N 131 54.137W at 130050 UTC Mar 2026. Area has been silting in and has a reduced depth of 1.07 meters causing a hazard to navigation."
178744,NW-C-0581-26,2026-03-13,Submerged Object - Mooring Prohibited,Port of Trois-Rivieres Vicinity Trois-Rivières,Submerged Object,6,-72.54176463583404,46.33653361437249,[],Submerged debris reported at wharf 11 at the port of Trois-Rivières. Debris extends 3 metres from the wharf. Mooring at bollards 11-4 and 11-5 is prohibited.
178786,NW-M-0245-26,2026-03-16,Marine Works,Lurcher,Shallow Depth Confirmed,5,-66.135576,43.823729916666665,[],As a result of a sounding survey the following shallower depths have been found. 43 49.424N 066 08.135W - 0.8M 43 49.690N 066 07.909W - 2.3M 43 49.957N 066 07.470W - 3.3M 43 50.268N 066 07.342W - 2.9M 43 50.891N 066 07.582W - 5.0M Note: All depths are referenced to CHS benchmark YAR-4. Elevation +7.309m above chart datum.
178887,NW-C-0640-26,2026-03-21,Submerged Object Cancels NW-C-0634-26,Magdalen Islands Vicinity Cap-Aux-Meules,Submerged Object,1,-61.810566666666666,47.36395,[],Large anchor and chain reported at 47 21.837N 061 48.634W
178917,NW-P-0426-26,2026-03-23,Aids to Navigation,Dixon Entrance West,Aids to Navigation (Other) Aids Mackie Rock port daybeacon,1,-132.3226388888889,53.69416,[],"Changes have been made to the Mackie Rock port bifurcation daybeacon in the vicinity of 53 41.650N 132 19.358W New characteristics are Fl (3) W12s, 6nm nominal range and a radar reflector has been added."
178948,NW-M-0269-26,2026-03-25,Marine Works,Southwestern Shore Vicinity LaHave,Shallow Depth Confirmed,4,-64.34671666666667,44.2608,[],As a result of a sounding survey the following shallower depths have been found. 44 15.648N 064 20.803W - 5.5M 44 15.624N 064 20.663W - 5.5M 44 15.732N 064 21.722W - 5.5M 44 15.913N 064 21.678W - 5.5M Note: All depths are referenced to CHS benchmark 2011N9000. Elevation +3.722m above chart datum.
179015,NW-N-0183-26,2026-03-29,Aids to Navigation,South Coast,Buoys Aids Gregory Rock light buoy PR3 LL 66.5,2,-55.12133333333333,47.033433333333335,[],Off position
179084,NW-P-0475-26,2026-04-01,Obstruction,Fraser River - North Arm,Submerged Object,1,-123.1565,49.2104,[],Partially submerged pilings reported in the North Arm of the Fraser River in the vicinity of 49 12.624N 123 09.390W. Described as two pilings installed as a pair and partially submerged. Caution.
179368,NW-C-0841-26,2026-04-13,Shoal Reported,Magdalen Islands Vicinity Pointe-aux-Loups,Sandspit or Sandbar Change,4,-61.71682455236324,47.53078769794329,[],Shoal reported in 47 31.870N 061 42.946W at 131900 UTC Apr 2026.
179410,NW-P-0525-26,2026-04-15,Uncharted Obstruction,West Coast Vancouver Island South,Uncharted Rock,1,-125.77338166666667,49.24131666666667,[],Underwater obstruction reported in Matlset Narrows north of Meares Island at 49 14.479N 125 46.403W at 151842 UTC Apr 2026.
179415,NW-N-0215-26,2026-04-15,Aids to Navigation,South Coast,Buoys Aids Big Shoal light buoy PFH2 LL 37.7,1,-53.939166666666665,47.52333333333333,[],Missing
179438,NW-C-0880-26,2026-04-16,Submerged Object - Fishing nets,Lake Huron Vicinity Lake Huron,Submerged Object,17,-82.02251523218679,43.18703841765641,[],Umarked fishing nets reported along the shoreline between Kettle Point and the outlet of Lake Huron into the St. Clair River.
179462,NW-N-0222-26,2026-04-17,Aids to Navigation,Northeast Gulf - south,Buoys Aids Peter Point Shoal South Cardinal light buoy XWC LL 197.5,2,-58.16288333333333,49.08011666666667,[],Changed from LL 197.5 to LL 193.820 and permanently relocated to 49 04.810N 058 09.771W
179524,NW-N-0236-26,2026-04-19,Aids to Navigation,Cabot Strait - north,Buoys Aids Halibut Rock West Cardinal light buoy QHR LL 173.12,1,-59.261,47.58318333333333,[],Missing
179677,NW-M-0385-26,2026-04-24,Shallow depth reported Cancels NW-M-0368-26,Chaleur - Miscou - south,Shallow Depth Reported,2,-64.93271666666666,47.31913055555556,[],Shallow depth reported in: 47 19.148N 064 55.963W observed depth 0.4m 47 18.870N 064 55.896W observed depth 0.6m These coordinates are in NAD83 CSRS and depths are referenced to local chart datum. Mariners should use caution when entering the Tabusintac channel.
179738,NW-C-1039-26,2026-04-26,Submerged Object Cancels NW-C-0967-26 Cancels NW-C-1003-26,Niagara River Vicinity Grand Island,Submerged Object,1,-78.9985,42.977666666666664,[],"Fixed, submerged log reported at 42 58.66N 078 59.91W at 241107 UTC Apr 2026."
179825,NW-C-1111-26,2026-04-29,Newly Discovered Dangers Cancels NW-C-0284-26,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.38328333333334,46.40388333333333,[],Shoal located in area bounded by: 46 24.233N 72 22.997W 46 24.240N 72 23.080W 46 24.251N 72 23.078W 46 24.244N 72 22.995W Depth: 8.7m In Force Shoals number Q5005/26 refers.
179838,NW-C-1112-26,2026-04-29,Newly Discovered Dangers,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.38353333333333,46.40383333333333,[],Shoal located in area bounded by: 46 24.230N 72 23.012W 46 24.241N 72 23.148W 46 24.245N 72 23.147W 46 24.234N 72 23.011W Depth: 7.7m In Force Shoals number Q5006/26 refers.
179843,NW-C-1110-26,2026-04-29,Newly Discovered Dangers Cancels NW-C-0286-26,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.38296666666666,46.40403333333333,[],Shoal located in area bounded by: 46 24.242N 72 22.978W 46 24.245N 72 23.015W 46 24.258N 72 23.013W 46 24.255N 72 22.976W Depth: 10.0m In Force Shoals number Q5004/26 refers.
179854,NW-C-1121-26,2026-04-29,Newly Discovered Dangers Cancels NW-C-0315-26,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.22805,46.50946666666667,[],Shoal located in area bounded by: 46 30.568N 72 13.683W 46 30.370N 72 13.775W 46 30.378N 72 13.812W 46 30.576N 72 13.720W Depth: 10.0m In Force Shoals number Q5015/26 refers.
179855,NW-C-1122-26,2026-04-29,Newly Discovered Dangers Cancels NW-C-0314-26,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.22828333333334,46.5104,[],Shoal located in area bounded by: 46 30.624N 72 13.697W 46 30.324N 72 13.836W 46 30.336N 72 13.890W 46 30.636N 72 13.751W Depth: 9.5m In Force Shoals number Q5016/26 refers.
179856,NW-C-1123-26,2026-04-29,Newly Discovered Dangers Cancels NW-C-0311-26,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.2294,46.5101,[],Shoal located in area bounded by: 46 30.606N 72 13.764W 46 30.156N 72 13.972W 46 30.162N 72 13.996W 46 30.612N 72 13.787W Depth: 9.3m In Force Shoals number Q5017/26 refers.
179857,NW-C-1124-26,2026-04-29,Newly Discovered Dangers Cancels NW-C-0302-26,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.22993333333334,46.50983333333333,[],Shoal located in area bounded by: 46 30.590N 72 13.796W 46 29.660N 72 14.227W 46 29.674N 72 14.292W 46 30.605N 72 13.861W Depth: 8.8m In Force Shoals number Q5018/26 refers.
179858,NW-C-1125-26,2026-04-29,Newly Discovered Dangers Cancels NW-C-0304-26,Trois-Rivières to Donnacona,Shallow Depth Confirmed,4,-72.23133333333334,46.50935,[],Shoal located in area bounded by: 46 30.561N 72 13.880W 46 29.672N 72 14.292W 46 29.692N 72 14.382W 46 30.581N 72 13.970W Depth: 8.3m In Force Shoals number Q5019/26 refers.
